item_id,order_id,product_id,quantity,unit_price,category
I000001866,O0000633,P0289,6,364.01,beauty
I000002153,O0000724,P0460,5,395.26,home_garden
I000000203,O0000072,P0249,6,327.38,beauty
I000001503,O0000510,P0341,7,496.84,toys
I000002193,O0000743,P0318,1,426.77,sports
I000001284,O0000434,P0309,1,21.39,home_garden
I000000560,O0000196,P0229,5,349.46,clothing
I000003401,O0001149,P0300,9,351.22,toys
I000003511,O0001193,P0225,2,39.28,clothing
I000003976,O0001358,P0089,9,326.18,sports
I000005129,O0001736,P0304,4,83.7,books
I000003561,O0001211,P0376,6,467.11,clothing
I000000341,O0000119,P0462,6,76.98,clothing
I000002215,O0000750,P0303,3,123.71,clothing
I000003548,O0001206,P0433,2,278.85,beauty
I000001354,O0000458,P0292,5,195.91,sports
I000005432,O0001833,P0314,8,326.0,toys
I000003166,O0001075,P0163,1,50.05,electronics
I000004746,O0001612,P0304,7,61.75,food_drink
I000000846,O0000292,P0408,5,60.01,food_drink
I000000114,O0000043,P0475,2,137.28,home_garden
I000002864,O0000963,P0140,5,203.07,home_garden
I000001309,O0000442,P0329,3,137.74,books
I000002559,O0000863,P0050,6,178.47,toys
I000006173,O_GHOST_32686,P0262,5,194.19,food_drink
I000001455,O0000494,P0293,6,283.26,home_garden
I000006039,O_GHOST_24447,P0375,2,267.36,home_garden
I000005137,O0001739,P0114,3,435.38,clothing
I000000034,O0000014,P0318,5,341.4,sports
I000001600,O0000544,P0154,8,353.84,electronics
I000005626,O0001894,P0241,5,317.44,toys
I000005657,O0001906,P0425,6,384.38,sports
I000000678,O0000236,P0333,8,79.76,books
I000001803,O0000613,P0154,9,198.63,sports
I000002295,O0000779,P0259,8,60.71,home_garden
I000003895,O0001329,P0195,8,175.68,beauty
I000004350,O0001484,P0169,6,271.96,beauty
I000002046,O0000690,P0068,4,215.42,books
I000004573,O0001555,P0063,5,144.2,beauty
I000005232,O0001771,P0406,9,303.37,beauty
I000002868,O0000964,P0264,7,226.3,books
I000005589,O0001883,P0389,3,447.12,electronics
I000005732,O0001930,P0246,5,197.48,home_garden
I000000055,O0000025,P0377,7,155.42,
I000005022,O0001702,P0095,8,129.41,toys
I000002311,O0000784,P0192,4,436.34,home_garden
I000000357,O0000125,P0152,7,22.03,beauty
I000005300,O0001793,P0122,6,204.22,beauty
I000005560,O0001875,P0205,6,391.98,beauty
I000006137,O_GHOST_40365,P0350,3,208.26,home_garden
I000003623,O0001231,P0106,7,35.58,books
I000000506,O0000178,P0201,8,361.12,food_drink
I000003164,O0001075,P0051,7,107.67,clothing
I000001979,O0000670,P0185,9,346.56,
I000002322,O0000786,P0255,6,165.46,toys
I000001118,O0000381,P0203,9,321.08,beauty
I000001236,O0000417,P0218,6,53.22,sports
I000001337,O0000453,P0340,2,172.27,sports
I000000047,O0000020,P0012,9,454.64,clothing
I000004959,O0001682,P0352,7,205.98,electronics
I000004967,O0001684,P0018,5,111.37,books
I000001587,O0000538,P0202,6,492.38,toys
I000005292,O0001790,P0185,8,498.73,home_garden
I000003263,O0001109,P0391,2,198.99,electronics
I000002925,O0000985,P0074,2,35.72,beauty
I000004891,O0001658,P0201,6,46.1,electronics
I000004413,O0001501,P0469,1,8.74,books
I000005645,O0001902,P0445,7,47.33,clothing
I000006100,O_GHOST_20528,P0137,9,430.62,food_drink
I000004298,O0001468,P0345,5,262.18,books
I000003704,O0001260,P0477,9,179.37,clothing
I000000800,O0000277,P0186,6,339.29,home_garden
I000001947,O0000660,P0349,9,422.29,home_garden
I000005676,O0001913,P0196,7,298.13,electronics
I000003484,O0001177,P0444,2,287.71,food_drink
I000001267,O0000428,P0287,1,472.87,books
I000005977,O_GHOST_10330,P0407,3,454.81,electronics
I000003783,O0001287,P0042,3,169.32,clothing
I000002564,O0000864,P0052,3,405.42,food_drink
I000003498,O0001187,P0497,5,483.69,food_drink
I000005853,O0001962,P0215,1,101.9,sports
I000006177,O_GHOST_87176,P0406,7,319.17,books
I000003181,O0001083,P0455,5,355.23,beauty
I000004042,O0001380,P0094,7,490.43,electronics
I000002293,O0000779,P0450,9,128.36,home_garden
I000003123,O0001060,P0111,7,250.51,food_drink
I000000797,O0000277,P0059,5,64.39,toys
I000000700,O0000244,P0277,8,60.14,sports
I000001308,O0000442,P0439,3,9.44,toys
I000004400,O0001498,P0142,9,214.14,books
I000002104,O0000709,P0087,8,183.53,beauty
I000005714,O0001926,P0291,5,171.34,beauty
I000005201,O0001760,P0158,3,287.56,sports
I000002117,O0000714,P0100,9,204.31,food_drink
I000005401,O0001826,P0264,5,445.02,sports
I000002514,O0000849,P0297,7,496.31,books
I000004917,O0001665,P0073,9,68.69,home_garden
I000004524,O0001537,P0084,1,206.76,toys
I000003876,O0001322,P0475,4,81.65,toys
I000000397,O0000141,P0350,6,189.84,home_garden
I000003077,O0001042,P0242,6,367.58,books
I000005581,O0001880,P0467,8,476.08,beauty
I000001194,O0000406,P0001,4,138.02,electronics
I000006083,O_GHOST_41094,P0380,1,406.01,beauty
I000003522,O0001197,P0061,7,293.3,beauty
I000005698,O0001921,P0410,9,331.74,electronics
I000004030,O0001377,P0355,3,203.68,electronics
I000004627,O0001571,P0269,7,77.3,toys
I000002472,O0000835,P0365,4,62.23,home_garden
I000005993,O_GHOST_59694,P0339,2,177.22,toys
I000001938,O0000657,P0481,7,106.71,electronics
I000001400,O0000474,P0151,5,52.35,food_drink
I000001880,O0000637,P0123,3,78.03,books
I000004394,O0001497,P0329,9,138.86,sports
I000004923,O0001667,P0460,8,456.36,clothing
I000003523,O0001198,P0110,7,129.39,toys
I000002615,O0000882,P0400,3,202.44,sports
I000003911,O0001334,P0049,7,98.02,beauty
I000006057,O_GHOST_01860,P0015,6,269.9,beauty
I000000860,O0000298,P0131,5,384.58,books
I000005921,O0001983,P0013,7,469.74,sports
I000002347,O0000794,P0191,2,1.14,books
I000001915,O0000649,P0037,4,337.97,electronics
I000005821,O0001955,P0124,8,190.27,clothing
I000005360,O0001814,P0137,5,358.5,electronics
I000003795,O0001290,P0051,4,149.54,home_garden
I000000029,O0000013,P0151,5,242.95,toys
I000001730,O0000589,P0485,1,135.75,sports
I000002124,O0000716,P0056,2,499.75,beauty
I000005726,O0001929,P0261,2,429.31,home_garden
I000001168,O0000398,P0224,7,252.04,food_drink
I000002937,O0000989,P0088,4,267.48,books
I000005845,O0001960,P0092,5,454.88,food_drink
I000000305,O0000106,P0321,7,251.01,electronics
I000002394,O0000812,P0260,2,389.92,electronics
I000000608,O0000213,P0055,4,183.18,electronics
I000000849,O0000292,P0288,3,300.57,home_garden
I000002788,O0000938,P0207,4,366.72,sports
I000001343,O0000454,P0228,7,87.68,clothing
I000003340,O0001132,P0221,7,215.62,food_drink
I000006176,O_GHOST_69362,P0181,7,316.08,toys
I000002175,O0000736,P0213,7,253.42,beauty
I000003319,O0001126,P0236,1,128.47,toys
I000003048,O0001031,P0170,3,391.15,toys
I000001489,O0000505,P0271,3,228.35,books
I000001913,O0000648,P0063,5,171.02,clothing
I000000931,O0000318,P0444,2,215.75,
I000002081,O0000701,P0197,9,317.59,toys
I000004017,O0001371,P0033,4,96.72,toys
I000001887,O0000639,P0461,1,469.41,books
I000001704,O0000579,P0251,2,85.75,electronics
I000004675,O0001591,P0469,8,245.33,toys
I000005221,O0001767,P0106,3,402.77,electronics
I000005018,O0001700,P0407,7,233.36,books
I000005555,O0001874,P0466,9,62.45,sports
I000005712,O0001925,P0214,6,56.54,home_garden
I000005721,O0001928,P0426,2,251.17,books
I000000833,O0000289,P0291,2,393.99,beauty
I000000637,O0000221,P0333,8,206.25,sports
I000003303,O0001122,P0312,1,391.61,clothing
I000005579,O0001879,P0316,9,189.83,toys
I000003891,O0001327,P0429,7,446.2,
I000003529,O0001200,P0470,2,97.14,sports
I000002062,O0000696,P0118,9,371.71,sports
I000004551,O0001548,P0227,5,64.56,food_drink
I000004282,O0001462,P0163,8,178.29,food_drink
I000005100,O0001728,P0453,1,294.55,beauty
I000003610,O0001226,P0382,3,297.73,home_garden
I000000883,O0000305,P0286,1,182.58,food_drink
I000000399,O0000142,P0231,8,144.82,clothing
I000000603,O0000211,P0246,4,394.11,sports
I000006086,O_GHOST_48616,P0363,1,259.89,electronics
I000005576,O0001879,P0447,5,32.58,electronics
I000002569,O0000865,P0116,1,370.92,clothing
I000005536,O0001867,P0063,4,412.38,home_garden
I000006019,O_GHOST_12581,P0356,2,238.96,electronics
I000003425,O0001157,P0197,8,327.22,food_drink
I000002389,O0000810,P0437,7,167.3,sports
I000003221,O0001095,P0146,4,68.52,sports
I000000681,O0000236,P0179,2,71.01,books
I000003877,O0001323,P0298,2,1.45,home_garden
I000003299,O0001121,P0413,4,247.59,sports
I000006207,O_GHOST_95701,P0341,7,175.82,sports
I000004490,O0001526,P0060,6,277.76,food_drink
I000003648,O0001243,P0138,8,200.03,electronics
I000001292,O0000437,P0471,8,144.45,electronics
I000000223,O0000079,P0449,1,73.41,beauty
I000001818,O0000618,P0421,9,75.58,home_garden
I000000764,O0000266,P0192,7,74.71,electronics
I000002651,O0000894,P0446,6,401.17,electronics
I000005271,O0001784,P0174,5,479.6,
I000001012,O0000348,P0205,8,369.06,beauty
I000004251,O0001452,P0201,1,125.58,electronics
I000004142,O0001413,P0487,7,360.62,clothing
I000004278,O0001461,P0484,1,453.97,sports
I000005357,O0001814,P0022,6,262.27,home_garden
I000001295,O0000438,P0206,1,41.44,food_drink
I000000602,O0000211,P0308,6,470.44,clothing
I000003810,O0001295,P0312,8,8.5,food_drink
I000004477,O0001521,P0357,1,270.93,beauty
I000001127,O0000384,P0347,7,302.71,electronics
I000000228,O0000081,P0255,9,239.98,beauty
I000003696,O0001257,P0135,6,91.25,clothing
I000003737,O0001270,P0204,4,413.31,electronics
