order_id,customer_id,order_date,status,total_amount,discount_pct
O0001478,C00173,2023-03-29,refunded,1239.08,15.0
O0000893,C00194,02/10/2023,shipped,858.91,25.0
O0000231,C00446,2023-12-04,pending,1920.8,20.0
O0000466,C00342,2024-05-27,refunded,1432.04,20.0
O0000931,C00036,23/02/2024,shipped,9.3,
O0000249,C00422,2022-01-28,shipped,2390.69,25.0
O0001200,C00375,30/11/2022,refunded,881.92,0.0
O0001920,C00049,2024-06-03,pending,1034.52,20.0
O0000937,,2024-03-14,completed,1842.99,10.0
O0001488,C00122,2023-05-11,cancelled,2094.84,10.0
O0001969,C00242,2024-04-16,cancelled,1628.3,20.0
O0000800,C00427,2022-03-11,pending,1144.91,25.0
O0000096,C00187,2022-08-20,refunded,2463.48,0.0
O0000610,C00397,2024-02-16,pending,851.54,10.0
O0001134,C00060,2022-08-11,pending,1271.67,0.0
O0000362,C00490,2024-06-21,pending,318.51,15.0
O0001480,C00253,2024-02-26,completed,1923.2,15.0
O0001151,C00404,05/02/2022,refunded,-139.53,20.0
O0000955,C00311,2023-06-30,refunded,1370.83,20.0
O0000411,C00166,2022-11-16,cancelled,1656.91,0.0
O0001245,C00302,2022-03-02,shipped,37.35,10.0
O0000632,,2022-02-13,cancelled,985.24,0.0
O0000488,C00485,2022-11-11,shipped,2452.55,5.0
O0001223,C00306,07/05/2023,completed,1263.67,5.0
O0001146,C00245,2023-10-19,cancelled,1288.61,0.0
O0000353,C00375,2024-05-03,cancelled,1033.52,0.0
O0001772,C00389,26/09/2022,pending,569.32,15.0
O0000909,C00231,2024-02-21,refunded,1770.16,25.0
O0001327,C00242,2022-04-05,completed,800.07,20.0
O0000484,C00137,21/05/2024,shipped,462.04,0.0
O0001208,C00271,15/10/2023,cancelled,1972.36,15.0
O0000159,C00304,2022-07-27,shipped,390.34,10.0
O0000004,C00037,2023-10-26,pending,17.12,20.0
O0000998,C00405,2022-02-04,refunded,1976.57,0.0
O0001858,C00239,2022-12-14,refunded,2340.79,0.0
O0000104,C00133,2022-03-18,pending,647.93,0.0
O0000709,C00070,15/07/2022,shipped,540.97,0.0
O0001974,C00128,2022-03-14,refunded,2164.1,0.0
O0000423,C00496,2023-01-31,completed,2209.04,0.0
O0000698,C00227,2022-07-15,refunded,1369.76,5.0
O0001968,C00127,2022-04-03,completed,1909.18,0.0
O0000141,,06/06/2024,shipped,1852.41,0.0
O0001286,C00487,27/07/2023,pending,2341.88,0.0
O0000284,C00011,30/08/2023,completed,357.87,0.0
O0001157,C00048,2023-01-04,completed,-2152.99,20.0
O0000787,C00449,2022-10-05,cancelled,2168.41,0.0
O0000908,C00266,2024-01-14,pending,1356.0,5.0
O0000621,C00385,2022-06-29,cancelled,1516.59,15.0
O0001532,C00441,2022-10-14,cancelled,487.63,15.0
O0001303,C00067,2022-05-13,completed,756.44,0.0
O0001010,C00022,2022-12-23,pending,1364.06,20.0
O0001176,C00062,09/03/2023,completed,18.12,25.0
O0001325,C00064,14/07/2023,cancelled,666.8,0.0
O0000891,C00126,2023-05-19,refunded,1854.68,20.0
O0000191,C00005,2022-01-22,cancelled,1408.01,20.0
O0000383,C00385,03/02/2023,cancelled,1915.77,0.0
O0000425,C00023,2022-07-11,shipped,646.57,20.0
O0001701,C00413,2022-04-02,refunded,2414.39,25.0
O0000120,C00095,2022-05-07,pending,1694.55,5.0
O0000810,C00429,2023-06-01,shipped,1736.7,10.0
O0001773,C00015,25/04/2022,refunded,1917.8,5.0
O0001795,C00174,07/01/2022,pending,,0.0
O0001140,C00164,31/10/2022,cancelled,354.82,0.0
O0000924,C00039,2023-01-23,pending,2328.27,20.0
O0000717,C00499,2023-05-25,completed,-698.76,15.0
O0000152,C00142,2023-02-07,completed,2096.62,15.0
O0001748,C00277,2022-12-21,pending,437.11,0.0
O0000932,C00031,2023-10-28,refunded,1207.64,20.0
O0001015,C00210,27/11/2023,refunded,1590.26,0.0
O0000691,C00428,11/06/2022,refunded,1588.93,25.0
O0000958,C00107,2023-12-25,completed,192.62,0.0
O0000508,C00131,2023-01-03,cancelled,1094.93,5.0
O0001445,C00060,2022-03-28,completed,858.65,
O0000793,C00327,2022-08-26,refunded,390.51,0.0
O0000433,C00207,2024-04-05,shipped,692.4,25.0
O0001309,C00331,2022-10-13,refunded,862.5,0.0
O0000812,C00457,2023-06-27,shipped,678.45,5.0
O0001527,C00392,2023-12-19,pending,2132.8,15.0
O0000374,C00499,2023-07-03,pending,1069.45,10.0
O0000113,C00271,2022-03-11,cancelled,2466.54,
O0000421,C00487,19/01/2023,completed,287.48,15.0
O0000347,C00065,08/08/2022,completed,794.0,25.0
O0000681,C00365,2023-01-24,pending,687.85,20.0
O0000069,C00261,15/09/2022,shipped,1089.34,15.0
O0000750,C00464,2023-08-30,refunded,2335.61,0.0
O0000597,C00057,2023-08-25,refunded,217.81,25.0
O0000028,C00287,11/04/2022,refunded,2397.94,25.0
O0001222,C00171,05/03/2022,completed,2307.48,15.0
O0000188,C00112,2023-08-27,shipped,2349.98,20.0
O0000551,C00320,2023-04-10,refunded,1709.22,25.0
O0000267,C00341,2023-12-28,refunded,53.46,10.0
O0000072,C00096,18/12/2023,pending,1098.4,10.0
O0000701,C00500,2022-08-27,completed,1357.16,20.0
O0000601,C00307,04/10/2022,cancelled,1992.66,25.0
O0001756,C00294,2024-03-30,shipped,210.28,10.0
O0000477,,24/06/2022,shipped,1433.9,20.0
O0000721,C00072,2023-05-30,completed,7.72,5.0
O0001627,C00448,07/01/2024,shipped,2368.09,0.0
O0000070,C00488,2024-06-12,cancelled,1165.71,15.0
O0000822,C00010,2022-06-13,completed,372.67,10.0
O0000385,C00425,2022-09-29,shipped,1809.91,0.0
O0000420,C00464,10/01/2022,shipped,1838.45,0.0
O0000301,C00497,01/02/2022,cancelled,1651.99,0.0
O0000079,C00196,2024-06-06,cancelled,1559.56,25.0
O0001256,C00157,2022-06-21,shipped,1688.38,10.0
O0001874,C00031,2023-03-26,cancelled,859.57,0.0
